"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00516973729867803,0.120008998008771,0.649,0.588,1,"4","OS9"
0.00517000147333083,0.23934996551564,0.347,0.305,1,"4","SAMD4B"
0.00517624962649308,0.47563224420772,0.208,0.17,1,"4","CCDC106"
0.00517908284694605,0.409065917646473,0.247,0.207,1,"4","MAP3K7"
0.0051991527961456,0.113647007834077,0.651,0.573,1,"4","DARS"
0.00520852562928749,1.43780741617383,0.023,0.01,1,"4","MN1"
0.00521111432310297,0.147021409912487,0.583,0.531,1,"4","PDHB"
0.00523293374975821,0.617007729937541,0.095,0.066,1,"4","GTSF1"
0.00527184001577127,2.42848076206045,0.012,0.004,1,"4","FAM71E1"
0.00531260904502963,0.16681132507171,0.425,0.371,1,"4","UBLCP1"
0.00532235548725928,0.360229852381178,0.155,0.117,1,"4","BTD"
0.00533091208355103,0.384987727036611,0.165,0.128,1,"4","DNAJC12"
0.00536312262029946,2.14150582014951,0.012,0.004,1,"4","AC022819.1"
0.00537376568182837,0.136506894289502,0.455,0.406,1,"4","LUC7L"
0.00537687274292605,0.924157634882385,0.04,0.022,1,"4","KLHDC8B"
0.00537752496796994,0.346108587379667,0.318,0.283,1,"4","PATL1"
0.00541238806695034,1.86280272184505,0.012,0.004,1,"4","MALRD1"
0.00541500079120413,1.16260879,0.042,0.023,1,"4","OCRL"
0.00542003367692593,0.656418066186107,0.087,0.059,1,"4","PAM"
0.00543486508033765,0.360534255967788,0.193,0.155,1,"4","CLEC16A"
0.00543504860809971,0.56084055206913,0.193,0.156,1,"4","FAHD2B"
0.00543761021361018,1.09162166490118,0.017,0.007,1,"4","ALDH1A1"
0.005449001090196,1.65184823992785,0.016,0.006,1,"4","JAM2"
0.00547133092953103,0.79798100263551,0.08,0.053,1,"4","ZNF678"
